"TF" "Fisher_pvalue" "OR" "fdr" "padj"
"NR3C1" "NR3C1" 0.0282988636685105 1.14303810261108 0.0774495216190815 "n.s."
"NRF1" "NRF1" 6.56237806892703e-86 8.43902769805938 3.41243659584206e-84 "<0.1"
"CHD2" "CHD2" 4.45045158738056e-44 3.72385639524961 1.15711741271895e-42 "<0.1"
"PPARGC1A" "PPARGC1A" 0.564114302362575 0.949102908282751 0.7521524031501 "n.s."
"ESRRG" "ESRRG" 7.69715173130607e-07 1.73277071189592 4.44724322253239e-06 "<0.1"
"RFX3" "RFX3" 2.57100992022186e-34 0.366886728425772 4.45641719505123e-33 "<0.1"
"FOXP2" "FOXP2" 0.098836799007286 0.852868060179931 0.205580541935155 "n.s."
"JUND" "JUND" 1.78554263069456e-11 0.515294682520838 1.54747027993528e-10 "<0.1"
"CUX1" "CUX1" 6.5834217158737e-12 0.406478764478484 6.84675858450865e-11 "<0.1"
"HLF" "HLF" 1.83893469967326e-05 0.5123496248755 7.35573879869305e-05 "<0.1"
"SREBF2" "SREBF2" 1.89574440350337e-07 4.51974444072337 1.23223386227719e-06 "<0.1"
"EGR1" "EGR1" 7.66480348204466e-10 0.359621449882385 5.69385401523318e-09 "<0.1"
"ZEB1" "ZEB1" 0.137233778363958 1.44221689052506 0.264302091663919 "n.s."
"FOSL2" "FOSL2" 4.2057200942763e-05 0.470539730911919 0.000156212460644548 "<0.1"
"ZBTB7A" "ZBTB7A" 0.240402081656071 0.778359058217363 0.446461008789846 "n.s."
"BHLHE40" "BHLHE40" 2.48805818617768e-06 0.417179939694011 1.29379025681239e-05 "<0.1"
"CREM" "CREM" 0.467875906888143 1.21851545028022 0.695129918805241 "n.s."
"KDM5A" "KDM5A" 1.53098588725914e-05 5.55062976480471 6.63427217812295e-05 "<0.1"
"EGR3" "EGR3" 3.99784034531615e-15 0.257040865605579 5.19719244891099e-14 "<0.1"
"NFE2L1" "NFE2L1" 0.0324271133393422 2.81322489839803 0.0843104946822897 "n.s."
"LHX6" "LHX6" 0.360839742503804 1.49402993491349 0.568595957884782 "n.s."
"ARX" "ARX" 0.304341937736049 0.684104214643724 0.510509056847566 "n.s."
"ETS2" "ETS2" 0.0348757188232837 0.443654438910686 0.0863589228005121 "n.s."
"KDM5B" "KDM5B" 0.267127017731995 0.581770154522813 0.478986376622887 "n.s."
"JUNB" "JUNB" 9.60172368964452e-05 0.24056236536404 0.000332859754574343 "<0.1"
"FOS" "FOS" 4.46993689803719e-06 0.205726888948898 2.11306107907212e-05 "<0.1"
"KLF6" "KLF6" 0.347777763625615 2.62877466004629 0.565138865891624 "n.s."
"FOXP1" "FOXP1" 0.091511361108054 Inf 0.198274615734117 "n.s."
"ATF4" "ATF4" 0.423803240731137 2.91860982192115 0.64816966229468 "n.s."
"TBL1XR1" "TBL1XR1" 1 0.874697871046512 1 "n.s."
"BCLAF1" "BCLAF1" 0.301836600219815 Inf 0.510509056847566 "n.s."
"RREB1" "RREB1" 0.058033855334159 0.193932711196389 0.13717093078983 "n.s."
"MXI1" "MXI1" 0.534557733479877 Inf 0.7521524031501 "n.s."
"EGR2" "EGR2" 0.108657032712334 0.232845305096587 0.217314065424667 "n.s."
"ZNF91" "ZNF91" 1 Inf 1 "n.s."
"ZMIZ1" "ZMIZ1" 1 0.583154134089863 1 "n.s."
"YY1" "YY1" 1 Inf 1 "n.s."
"VAX1" "VAX1" 1 0.583154134089863 1 "n.s."
"TAF1" "TAF1" 1 Inf 1 "n.s."
"SMARCA4" "SMARCA4" 1 Inf 1 "n.s."
"RAD21" "RAD21" 1 Inf 1 "n.s."
"POU2F1" "POU2F1" 0.558977885841196 0.291441396676852 0.7521524031501 "n.s."
"ONECUT2" "ONECUT2" 0.0281246643523533 0.116365186417209 0.0774495216190815 "n.s."
"MAZ" "MAZ" 0.0648324636035863 0.14557289796973 0.146577743799412 "n.s."
"MAX" "MAX" 1 Inf 1 "n.s."
"MAFG" "MAFG" 1 Inf 1 "n.s."
"JDP2" "JDP2" 1 Inf 1 "n.s."
"IKZF1" "IKZF1" 0.558977885841196 0.291441396676852 0.7521524031501 "n.s."
"ESRRA" "ESRRA" 1 Inf 1 "n.s."
"EP300" "EP300" 1 Inf 1 "n.s."
"EGR4" "EGR4" 0.0281246643523533 0.116365186417209 0.0774495216190815 "n.s."
"DLX1" "DLX1" 0.0281246643523533 0.116365186417209 0.0774495216190815 "n.s."
