"TF" "Fisher_pvalue" "OR" "fdr" "padj"
"NR3C1" "NR3C1" 0.0795025413769747 0.8324816864373 0.153704913328818 "n.s."
"PPARGC1A" "PPARGC1A" 5.64051933319311e-18 2.98642577789831 1.635750606626e-16 "<0.1"
"CHD2" "CHD2" 0.000408655756565259 1.58664259782435 0.00190422519615625 "<0.1"
"NRF1" "NRF1" 0.00180436413279885 1.50964547168932 0.00654081998139584 "<0.1"
"ESRRG" "ESRRG" 4.31920061189759e-09 2.41469874308485 4.17522725816767e-08 "<0.1"
"RFX3" "RFX3" 0.66538078158618 1.06405115315487 0.771841706639969 "n.s."
"CUX1" "CUX1" 0.0278739746012564 1.57775176547651 0.0577389473883169 "n.s."
"FOSL2" "FOSL2" 0.00045964056458944 2.49376540457219 0.00190422519615625 "<0.1"
"FOXP2" "FOXP2" 8.02079488834971e-06 0.381321744081224 4.65206103524283e-05 "<0.1"
"EGR1" "EGR1" 0.561300324376025 1.14796288023232 0.678237891954364 "n.s."
"CREM" "CREM" 0.140874160499929 1.67044595300175 0.226963925249885 "n.s."
"RREB1" "RREB1" 2.51821008222037e-07 75.0799699454824 1.82570230960977e-06 "<0.1"
"HLF" "HLF" 0.0265388605126431 0.437009486720231 0.0577389473883169 "n.s."
"FOS" "FOS" 0.136337908728623 1.9994854433481 0.226963925249885 "n.s."
"EGR3" "EGR3" 0.023198879938958 0.36787308872635 0.0560639598524818 "n.s."
"KDM5A" "KDM5A" 1 0.881227396358768 1 "n.s."
"JUND" "JUND" 2.56305474437277e-14 0.0830107547235316 3.71642937934052e-13 "<0.1"
"JUNB" "JUNB" 0.531774332050495 1.41568340836367 0.670498070846276 "n.s."
"ZEB1" "ZEB1" 0.114536714681058 0.392705449266613 0.207597795359417 "n.s."
"LHX6" "LHX6" 0.753171111934568 1.09599737510646 0.794393785062567 "n.s."
"BHLHE40" "BHLHE40" 0.00855405615219055 0.259372932660137 0.0225516025830478 "<0.1"
"KDM5B" "KDM5B" 0.714604470304013 1.05913218608635 0.794393785062567 "n.s."
"ARX" "ARX" 0.767000895922478 0.603192831152684 0.794393785062567 "n.s."
"ZBTB7A" "ZBTB7A" 0.00281288356512625 0.109322407365805 0.00906373593207348 "<0.1"
"SREBF2" "SREBF2" 0.0060735892511246 0.122469016988374 0.0176134088282613 "<0.1"
"ONECUT2" "ONECUT2" 0.418282612847339 2.11993703749914 0.577628370122516 "n.s."
"ETS2" "ETS2" 0.511700712851265 0.363626792622411 0.670498070846276 "n.s."
"EGR4" "EGR4" 0.418282612847339 2.11993703749914 0.577628370122516 "n.s."
"CUX2" "CUX2" 0.237228198026387 5.30113659251703 0.362085144356065 "n.s."
