"TF" "Fisher_pvalue" "OR" "fdr" "padj"
"NR3C1" "NR3C1" 0.163205312567632 0.872659583716451 0.367211953277171 "n.s."
"FOXP2" "FOXP2" 1.40339152457587e-73 8.26171290977826 5.05220948847311e-72 "<0.1"
"RFX3" "RFX3" 1 0.991707474969627 1 "n.s."
"JUND" "JUND" 0.0185150932439381 1.42505711508618 0.0759484977446949 "n.s."
"CHD2" "CHD2" 4.69783760154537e-10 0.360162230367558 3.38244307311267e-09 "<0.1"
"ZEB1" "ZEB1" 6.51415267124307e-08 4.23617343954922 3.90849160274584e-07 "<0.1"
"NRF1" "NRF1" 3.10617490717119e-13 0.279890570445934 2.79555741645407e-12 "<0.1"
"HLF" "HLF" 0.0701935635865351 1.53227409999351 0.229724389919569 "n.s."
"CUX1" "CUX1" 0.519948012018848 0.841276845810764 0.70026051471226 "n.s."
"EGR1" "EGR1" 0.221057172776568 1.34383211574569 0.442114345553136 "n.s."
"BHLHE40" "BHLHE40" 0.879050192037954 1.05433575094021 0.958963845859586 "n.s."
"EGR3" "EGR3" 0.575673607651113 0.792706288107157 0.70026051471226 "n.s."
"ZBTB7A" "ZBTB7A" 0.731391011236173 0.806755114804954 0.849357303371039 "n.s."
"PPARGC1A" "PPARGC1A" 5.96110852401673e-22 0.0872142732940235 1.07299953432301e-20 "<0.1"
"FOSL2" "FOSL2" 0.128305149483114 0.526199670366712 0.329927527242293 "n.s."
"ETS2" "ETS2" 0.026587886202367 2.73573753418242 0.0957163903285212 "n.s."
"JUNB" "JUNB" 0.148202869777577 1.92023303971808 0.355686887466186 "n.s."
"KDM5A" "KDM5A" 1 0.947216490152837 1 "n.s."
"FOS" "FOS" 0.583550428926883 1.35339194970277 0.70026051471226 "n.s."
"ESRRG" "ESRRG" 7.86959096422252e-15 0.0954684304791912 9.44350915706703e-14 "<0.1"
"LHX6" "LHX6" 0.558393382178625 1.2749053810136 0.70026051471226 "n.s."
"KLF6" "KLF6" 0.0189871244361737 5.12187706921738 0.0759484977446949 "n.s."
"CEBPB" "CEBPB" 0.521094266054259 1.48871168066492 0.70026051471226 "n.s."
"CREM" "CREM" 0.115329147226324 0.372587650516168 0.319373023088282 "n.s."
"SREBF2" "SREBF2" 0.010467081627153 0.20887874808632 0.0538307055110727 "n.s."
"NFE2L1" "NFE2L1" 0.762970258355574 0.658553588321038 0.858341540650021 "n.s."
"KDM5B" "KDM5B" 1 0.890446295699477 1 "n.s."
"JUN" "JUN" 0.189543726919828 2.97671961099302 0.401386715830224 "n.s."
"ARX" "ARX" 0.579393960912487 0.507094346415837 0.70026051471226 "n.s."
"RAD21" "RAD21" 0.100919348098621 Inf 0.302758044295863 "n.s."
"POU2F1" "POU2F1" 0.273282886868308 4.45945413551982 0.517799154066268 "n.s."
"MAZ" "MAZ" 0.412657624543039 2.22916825567569 0.70026051471226 "n.s."
"FOXP1" "FOXP1" 0.47199382352771 1.78312900355969 0.70026051471226 "n.s."
"EGR4" "EGR4" 0.47199382352771 1.78312900355969 0.70026051471226 "n.s."
"EGR2" "EGR2" 0.525346748890914 1.48566955970072 0.70026051471226 "n.s."
"ATF4" "ATF4" 0.47199382352771 1.78312900355969 0.70026051471226 "n.s."
