"TF" "Fisher_pvalue" "OR" "fdr" "padj"
"NR3C1" "NR3C1" 0.000654095739179433 0.379253301748413 0.00533306497796808 "<0.1"
"FOXP2" "FOXP2" 0.00118512555065957 2.848259389938 0.00533306497796808 "<0.1"
"RFX3" "RFX3" 0.466005784562138 1.27605931911925 0.662183214039538 "n.s."
"PPARGC1A" "PPARGC1A" 0.849309927259646 0.873109666136434 1 "n.s."
"CUX1" "CUX1" 0.0374203517261031 2.40457434447635 0.0962237615814081 "n.s."
"NRF1" "NRF1" 0.150995192358489 0.48353131845079 0.27179134624528 "n.s."
"FOSL2" "FOSL2" 0.0689397903006173 2.74071272988377 0.155114528176389 "n.s."
"ESRRG" "ESRRG" 0.654356946481371 0.721055956618675 0.841316074047477 "n.s."
"ARX" "ARX" 0.00108243791537651 10.1439223920785 0.00533306497796808 "<0.1"
"LHX6" "LHX6" 0.00717640269841148 8.51375824753053 0.0215292080952344 "<0.1"
"HLF" "HLF" 0.478243432361889 1.41038933392821 0.662183214039538 "n.s."
"DLX1" "DLX1" 3.64857395067115e-05 82.0766330811555 0.000656743311120807 "<0.1"
"JUND" "JUND" 0.120937031688446 0.317543412428796 0.241874063376892 "n.s."
"CHD2" "CHD2" 0.00390763258329626 0.180263751744901 0.0140674772998665 "<0.1"
"ZEB1" "ZEB1" 1 0.959908808662707 1 "n.s."
"SREBF2" "SREBF2" 1 0.925438082324149 1 "n.s."
"FOS" "FOS" 0.382005364885259 2.14748239163549 0.62509968799406 "n.s."
"EGR3" "EGR3" 1 0.535525310107619 1 "n.s."
