"TF" "Fisher_pvalue" "OR" "fdr" "padj"
"PPARGC1A" "PPARGC1A" 0.00124329248111615 2.62270383511164 0.00870304736781305 "<0.1"
"ESRRG" "ESRRG" 0.468677648613933 1.24923541340209 0.568274948130572 "n.s."
"RCOR1" "RCOR1" 0.150943396226415 Inf 0.264150943396226 "n.s."
"NRF1" "NRF1" 0.703651893816766 0.423109825818248 0.703651893816766 "n.s."
"EP300" "EP300" 0.150943396226415 Inf 0.264150943396226 "n.s."
"CUX1" "CUX1" 0.487092812683348 0.340462379073617 0.568274948130572 "n.s."
"CREB1" "CREB1" 0.150943396226415 Inf 0.264150943396226 "n.s."
