"TF" "Fisher_pvalue" "OR" "fdr" "padj"
"PPARGC1A" "PPARGC1A" 0.192462202820228 0.44636202752702 0.219956803223118 "n.s."
"POU3F2" "POU3F2" 1.75749490461669e-06 Inf 1.40599592369335e-05 "<0.1"
"NRF1" "NRF1" 0.104854842799958 4.3773455302001 0.139806457066611 "n.s."
"SREBF2" "SREBF2" 0.0793327019742114 24.5322457033091 0.126932323158738 "n.s."
"ONECUT2" "ONECUT2" 0.0404312668463611 Inf 0.0808625336927223 "<0.1"
"MEIS1" "MEIS1" 0.0404312668463611 Inf 0.0808625336927223 "<0.1"
"FOXO3" "FOXO3" 0.0404312668463611 Inf 0.0808625336927223 "<0.1"
"CUX1" "CUX1" 0.5120500361839 1.51580451291016 0.5120500361839 "n.s."
