p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
NPTXR,0,3.85140180195132,0.734,0.536,0,L2,NPTXR
RFTN1,0,3.83407223379595,0.864,0.626,0,L2,RFTN1
WDR64,0,3.68749438238423,0.253,0.1,0,L2,WDR64
LINC00507,0,3.64184958463524,0.814,0.258,0,L2,LINC00507
CDKL1,0,3.64053664503262,0.718,0.536,0,L2,CDKL1
PDE2A,0,3.61165899606595,0.858,0.715,0,L2,PDE2A
FTL,0,3.56197877232786,0.609,0.775,0,L2,FTL
PCDH19,0,3.55942723615298,0.513,0.307,0,L2,PCDH19
ITGA4,0,3.55660280048584,0.356,0.076,0,L2,ITGA4
LOC105377390,0,3.50257552890387,0.692,0.364,0,L2,LOC105377390
NHS,0,3.48086516396301,0.387,0.67,0,L2,NHS
PTPRF,0,3.44776390364026,0.728,0.491,0,L2,PTPRF
LINC00472,0,3.20694018968775,0.085,0.275,0,L2,LINC00472
JUN,0,3.15094280915998,0.392,0.194,0,L2,JUN
NHSL2,0,3.02404558677505,0.306,0.072,0,L2,NHSL2
GAREM,0,3.0147745162799,0.883,0.705,0,L2,GAREM
AHRR,0,3.00408888997636,0.29,0.113,0,L2,AHRR
MAPK4,0,2.8935967033058,0.895,0.594,0,L2,MAPK4
LOC105377902,0,2.7516513324973,0.22,0.073,0,L2,LOC105377902
ZBTB18,0,2.74517561748088,0.745,0.553,0,L2,ZBTB18
ZFHX4,0,2.64628862975561,0.378,0.154,0,L2,ZFHX4
ART3,0,2.63898417918119,0.723,0.316,0,L2,ART3
PBX3,0,2.48783387385,0.595,0.366,0,L2,PBX3
CUX1,0,2.41553419586665,0.906,0.794,0,L2,CUX1
ADGRF5,0,2.38538294717711,0.251,0.057,0,L2,ADGRF5
CKMT2,0,2.28658271646393,0.404,0.184,0,L2,CKMT2
LOC105373766,0,2.26891945413358,0.265,0.087,0,L2,LOC105373766
LIPC,0,2.09164770231455,0.277,0.053,0,L2,LIPC
FLRT2,0,2.02285355431036,0.99,0.933,0,L2,FLRT2
NTNG1,0,1.98244619473465,0.45,0.196,0,L2,NTNG1
GLP2R,0,1.98138653188205,0.229,0.058,0,L2,GLP2R
TMOD1,0,1.9757190446519,0.628,0.349,0,L2,TMOD1
SGK223,0,1.97568535566893,0.725,0.373,0,L2,SGK223
CA10,0,1.94830389268978,0.948,0.617,0,L2,CA10
FAM163A,0,1.90793629005736,0.286,0.048,0,L2,FAM163A
TESPA1,0,1.90763664854328,0.942,0.597,0,L2,TESPA1
GRB14,0,1.81051278604351,0.525,0.195,0,L2,GRB14
LOC105375160,0,1.74369388431788,0.329,0.094,0,L2,LOC105375160
AEN,0,1.68598004130253,0.522,0.285,0,L2,AEN
TTYH1,0,1.62739154738129,0.586,0.339,0,L2,TTYH1
LINC01197,0,1.59150959526214,0.555,0.293,0,L2,LINC01197
LOC105370182,0,1.56853780150356,0.239,0.022,0,L2,LOC105370182
COL26A1,0,1.54361980781681,0.808,0.621,0,L2,COL26A1
MARCH11,0,1.50481041389337,0.458,0.682,0,L2,MARCH11
LINC00326,0,1.49897816522089,0.271,0.023,0,L2,LINC00326
CYP1B1-AS1,0,1.47665602207885,0.357,0.074,0,L2,CYP1B1-AS1
KCNG3,0,1.46890933457985,0.484,0.232,0,L2,KCNG3
CAT,0,1.46072935668625,0.449,0.142,0,L2,CAT
WWP1,0,1.45076163961411,0.621,0.792,0,L2,WWP1
SYT9,0,1.43797201641175,0.346,0.138,0,L2,SYT9
TLE1,0,1.41709484731263,0.686,0.421,0,L2,TLE1
ITPKA,0,1.40739641439392,0.621,0.316,0,L2,ITPKA
TYRO3,0,1.33116521984945,0.749,0.516,0,L2,TYRO3
LRRC2,0,1.32657266426584,0.373,0.153,0,L2,LRRC2
JAG1,0,1.31453350635882,0.321,0.115,0,L2,JAG1
IQCJ-SCHIP1,0,1.30495559051091,0.399,0.094,0,L2,IQCJ-SCHIP1
LOC105370183,0,1.2912680539102,0.206,0.028,0,L2,LOC105370183
MGAT5B,0,1.27081875430736,0.576,0.366,0,L2,MGAT5B
ICAM5,0,1.26473569724966,0.512,0.263,0,L2,ICAM5
PDE4C,0,1.25198311253238,0.34,0.113,0,L2,PDE4C
C14orf132,0,1.25072296551643,0.461,0.253,0,L2,C14orf132
PTPN13,0,1.2332043768416,0.755,0.526,0,L2,PTPN13
CCDC88C,0,1.1989510247006,0.314,0.103,0,L2,CCDC88C
LZTS1,0,1.18537591536678,0.618,0.323,0,L2,LZTS1
LOC105374879,0,1.17125674197632,0.365,0.092,0,L2,LOC105374879
CRIP2,0,1.14406834532291,0.487,0.248,0,L2,CRIP2
LOC105375161,0,1.11721033459768,0.253,0.076,0,L2,LOC105375161
RCN1,0,1.09842693408996,0.366,0.099,0,L2,RCN1
AKAP5,0,1.09121998468716,0.457,0.264,0,L2,AKAP5
