,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
EPN2.1,2.69320619671567e-36,-4.18799163143441,0.653,0.696,8.93794340504028e-32,L3,EPN2
C9orf89.2,3.14565118995168e-36,0.280936583435927,0.441,0.364,1.04394726040927e-31,L3,C9orf89
TNXB,3.46144458628656e-36,0.368763683573917,0.234,0.169,1.14874961485092e-31,L3,TNXB
ELMO1.2,3.55550793129601e-36,-20.4444494895142,0.983,0.949,1.17996641715921e-31,L3,ELMO1
TPT1.1,3.65873316479778e-36,-1.66826946696329,0.621,0.688,1.21422377540144e-31,L3,TPT1
LOC105369385.1,3.90201299636296e-36,-0.302410093518742,0.145,0.213,1.29496105310298e-31,L3,LOC105369385
APC2.2,4.09027533349853e-36,-1.2695680380602,0.448,0.524,1.35743967492816e-31,L3,APC2
FBLN7.2,4.10922730341981e-36,-0.467075337211044,0.381,0.303,1.36372926518593e-31,L3,FBLN7
KIAA1462.2,4.22646794897735e-36,-19.0791371125907,0.325,0.403,1.40263791822711e-31,L3,KIAA1462
COL7A1.2,4.57969013034052e-36,0.304200228503192,0.237,0.171,1.51986176355611e-31,L3,COL7A1
ADAM17.2,4.86770222402673e-36,-13.8608744962536,0.762,0.812,1.61544433708775e-31,L3,ADAM17
HDAC8.2,5.13097403799516e-36,2.76220379977069,0.963,0.968,1.70281635398945e-31,L3,HDAC8
NRGN.2,5.30072116899454e-36,-43.6073107885807,0.967,0.948,1.75915033435422e-31,L3,NRGN
MAP4K3.2,5.64623582746259e-36,-4.83638887083575,0.974,0.979,1.87381628406001e-31,L3,MAP4K3
CLTC.2,5.72295487705244e-36,-26.951740180398,0.947,0.936,1.89927703504739e-31,L3,CLTC
FLYWCH1.2,6.43132296597266e-36,0.263425581410697,0.558,0.483,2.13436315271735e-31,L3,FLYWCH1
LMTK2.2,6.80338397857391e-36,-2.34813232705822,0.938,0.92,2.25783904096932e-31,L3,LMTK2
OGT.1,7.43610694992617e-36,-1.84340284418327,0.914,0.939,2.467820813472e-31,L3,OGT
RSRC1.2,7.55428081353422e-36,-2.37428185196947,0.806,0.76,2.5070391735876e-31,L3,RSRC1
HTR2A.2,8.01187180181646e-36,-3.82207514037561,0.781,0.689,2.65889989486883e-31,L3,HTR2A
LOC105371871,8.09777552265543e-36,-0.262734498167042,0.13,0.196,2.68740876270366e-31,L3,LOC105371871
AK9.2,8.76085019333688e-36,-0.409684743081178,0.568,0.485,2.90746335366271e-31,L3,AK9
SCAPER.2,9.19207367688017e-36,-10.2318158622539,0.935,0.941,3.05057349114622e-31,L3,SCAPER
NR4A3.2,9.19645316576955e-36,-15.8222101583807,0.156,0.222,3.05202691212394e-31,L3,NR4A3
PANK1.2,1.1764298226828e-35,0.680156876815216,0.475,0.403,3.90421765253739e-31,L3,PANK1
PDXK.2,1.17951256208338e-35,-0.798910960460647,0.74,0.687,3.91444833978613e-31,L3,PDXK
ATL1.2,1.19722965664199e-35,-14.5087891638316,0.934,0.949,3.97324606149777e-31,L3,ATL1
C6orf1.2,1.20346532636971e-35,-0.611461096605373,0.203,0.274,3.99394037862317e-31,L3,C6orf1
RIPK1.2,1.53716856492807e-35,0.690932929757193,0.509,0.437,5.10140131642677e-31,L3,RIPK1
WRN.2,1.61775126590398e-35,-2.61433202197742,0.69,0.746,5.36883112615556e-31,L3,WRN
OTUD4.1,1.65521535771128e-35,-0.711456544377719,0.575,0.641,5.49316320763643e-31,L3,OTUD4
TMX4.2,1.71859162394262e-35,-8.54215284262873,0.832,0.805,5.70349002237839e-31,L3,TMX4
SUB1.2,1.73767592537752e-35,-9.73755219330896,0.813,0.847,5.76682509355036e-31,L3,SUB1
SUSD5.2,1.9021690632653e-35,-0.472670856090591,0.331,0.252,6.31272847025856e-31,L3,SUSD5
LOC100506457.2,1.93819204138012e-35,-39.2404618200522,0.119,0.176,6.4322779277282e-31,L3,LOC100506457
AKT3.2,1.96969965355116e-35,-31.6212607754326,0.999,0.998,6.53684224024024e-31,L3,AKT3
LOC102723809,2.05105856311268e-35,0.317433143580547,0.235,0.171,6.80684805340206e-31,L3,LOC102723809
C1orf56.2,2.13620503182114e-35,-0.376179053339377,0.537,0.464,7.0894236391048e-31,L3,C1orf56
RUNX2.2,2.16493293443863e-35,-12.4049268160377,0.321,0.244,7.18476292952149e-31,L3,RUNX2
ATP6V1B2.2,2.25728825703439e-35,-23.7102265939868,0.813,0.761,7.49126253862002e-31,L3,ATP6V1B2
LOC105375356.1,2.5258414686254e-35,0.25659978158852,0.194,0.134,8.38251008192712e-31,L3,LOC105375356
TBC1D12.2,2.55738683458093e-35,1.73253837799248,0.727,0.673,8.48719968792375e-31,L3,TBC1D12
LOC105374808.2,2.6010859837338e-35,-0.309392713057763,0.258,0.335,8.63222405421737e-31,L3,LOC105374808
MLLT3.2,2.7675805976004e-35,-15.7517885031109,0.984,0.977,9.18476972925645e-31,L3,MLLT3
NR2F1.2,2.88593164440027e-35,-0.851131723784287,0.366,0.448,9.57754134827119e-31,L3,NR2F1
DYSF.2,3.13145638550302e-35,-11.6857076845596,0.58,0.492,1.03923643065689e-30,L3,DYSF
TMEM178B.2,3.14790164309955e-35,34.7406421695217,0.995,0.998,1.04469411829545e-30,L3,TMEM178B
SLC18B1.2,3.50175683926476e-35,-4.98452617388918,0.561,0.485,1.1621280422468e-30,L3,SLC18B1
FAM222B.2,3.88372409864655e-35,-7.66889892756983,0.839,0.807,1.28889151661783e-30,L3,FAM222B
ITPKA.2,4.00145761442538e-35,-0.296349249057891,0.449,0.544,1.32796373849935e-30,L3,ITPKA
SPATA2L.1,4.19609041277998e-35,-0.403669163804479,0.271,0.347,1.39255652528929e-30,L3,SPATA2L
RANBP2.1,4.24455416050812e-35,-4.83991438837148,0.934,0.932,1.40864018924783e-30,L3,RANBP2
ADD3.2,4.44792558936042e-35,-8.97406252729498,0.848,0.812,1.47613306534104e-30,L3,ADD3
PDZD8.2,4.6619299669037e-35,-0.830013890293715,0.74,0.693,1.54715469811633e-30,L3,PDZD8
LOC105371192.2,5.02885938402947e-35,0.388136832542637,0.287,0.218,1.66892756377786e-30,L3,LOC105371192
DCP1A.2,5.44825477642697e-35,0.621913849196482,0.714,0.671,1.80811231265282e-30,L3,DCP1A
UBL3.1,5.72150919019719e-35,3.31587565901469,0.838,0.819,1.89879725495074e-30,L3,UBL3
GABRA1.2,5.7519803616964e-35,-24.4077841284697,0.973,0.957,1.90890972263619e-30,L3,GABRA1
PIANP,6.22383564103574e-35,-0.958368246088066,0.436,0.512,2.06550433419053e-30,L3,PIANP
UBE2Q2P1.2,6.46965971313438e-35,-4.45727701341052,0.414,0.473,2.14708596899791e-30,L3,UBE2Q2P1
LOC105377462.2,7.32816319576061e-35,-13.0071719920356,0.551,0.474,2.43199751977707e-30,L3,LOC105377462
FNBP1L.1,7.45159158933438e-35,-16.4551916633697,0.254,0.302,2.4729597007524e-30,L3,FNBP1L
LYNX1.2,7.52091291307415e-35,-16.4178250907931,0.631,0.562,2.49596536846192e-30,L3,LYNX1
HHIPL1.1,1.00259507482473e-34,-0.27564883907153,0.129,0.193,3.32731227482083e-30,L3,HHIPL1
IRF2.2,1.01646687680033e-34,-1.45594626403753,0.499,0.429,3.37334862403724e-30,L3,IRF2
JPH4.2,1.04727911582042e-34,-0.766041966219578,0.402,0.477,3.47560520167323e-30,L3,JPH4
PDE7A.2,1.04946755359651e-34,-0.65222981882402,0.89,0.872,3.48286797012075e-30,L3,PDE7A
HELQ.2,1.07170166529577e-34,0.829835594345002,0.41,0.337,3.55665631661708e-30,L3,HELQ
LOC101927768.2,1.13018720551295e-34,-1.06082377331941,0.563,0.469,3.75075227893584e-30,L3,LOC101927768
PRKCI.2,1.35128066393527e-34,-0.703388667234444,0.816,0.883,4.48449513940199e-30,L3,PRKCI
TMPO.2,1.40234240845517e-34,0.591527662912833,0.505,0.434,4.65395375094018e-30,L3,TMPO
ZNF514.2,1.41229878058335e-34,-0.552030541447172,0.398,0.471,4.68699596312197e-30,L3,ZNF514
SRD5A3.2,1.42816258230676e-34,-0.374304615503043,0.202,0.274,4.73964316190143e-30,L3,SRD5A3
NDUFA4.2,1.44907282968379e-34,-11.2286870463389,0.731,0.661,4.80903799987161e-30,L3,NDUFA4
PXDNL.2,1.51331299713075e-34,5.84164857646907,0.511,0.436,5.02223184357782e-30,L3,PXDNL
LOC101930100.2,1.60905377107979e-34,0.372807281810582,0.373,0.3,5.33996675008249e-30,L3,LOC101930100
ZDHHC21.2,1.66291071723497e-34,-6.82726073519612,0.972,0.979,5.5187017972877e-30,L3,ZDHHC21
LOC105371672.2,1.73199081925499e-34,-1.29107572292075,0.103,0.16,5.74795793186154e-30,L3,LOC105371672
CCDC88A.2,1.80840848921805e-34,-34.133097114744,0.992,0.979,6.00156525316794e-30,L3,CCDC88A
