,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
ADARB1,2.48290265075553e-06,10.0017664187321,0.692,0.658,0.0824000902706237,L5,ADARB1
KIAA2018,2.49737994451913e-06,0.517118546098134,0.394,0.332,0.0828805482187564,L5,KIAA2018
NLK.1,2.53518456228361e-06,1.5491138765404,0.778,0.698,0.0841351700685063,L5,NLK
HTT,2.56075982082623e-06,6.68887302768921,0.731,0.704,0.0849839361737602,L5,HTT
SNED1.1,2.57156456695396e-06,-5.98853226040093,0.154,0.206,0.0853425132835011,L5,SNED1
MFHAS1.1,2.64365523905623e-06,2.14637869644634,0.541,0.601,0.0877349864185591,L5,MFHAS1
PCDH11Y.1,2.65340002966498e-06,-8.63095598549,0.292,0.215,0.0880583867844917,L5,PCDH11Y
RNF34,2.65655211863815e-06,0.423939849851229,0.486,0.429,0.0881629951612443,L5,RNF34
LOC105369743.1,2.67542284324185e-06,1.23946006665994,0.164,0.117,0.0887892578986674,L5,LOC105369743
CDH9.1,2.67811037864448e-06,-57.7509907268638,0.819,0.837,0.0888784491360743,L5,CDH9
ZBTB40,2.69031444687877e-06,0.977924068505472,0.329,0.268,0.0892834655485657,L5,ZBTB40
HECTD2,2.69498075536304e-06,1.13937920867736,0.73,0.66,0.0894383263282332,L5,HECTD2
KLF7.1,2.70327474887069e-06,-0.553783842710399,0.45,0.37,0.0897135790907716,L5,KLF7
